000067-64-1_group2,000067-68-5_group1,000074-95-3_group1,000077-68-9_group1,000078-79-5_group2,000078-93-3_group1,000091-20-3_group1,000095-16-9_group2,000095-47-6_group2,000098-82-8_group2,000098-83-9_group2,000098-86-2_group2,000100-41-4_group3,000100-41-4_group4,000100-42-5_group1,000100-80-1_group1,000103-65-1_group1,000104-76-7_group1,000106-46-7_group2,000107-83-5_group2,000107-92-6_group1,000108-67-8_group2,000108-67-8_group3,000108-87-2_group2,000108-94-1_group1,000109-52-4_group1,000110-43-0_group1,000110-54-3_group2,000110-82-7_group1,000110-88-3_group1,000110-93-0_group2,000110-98-5_group1,000112-31-2_group1,000115-11-7_group2,000119-36-8_group1,000120-92-3_group1,000123-35-3_group1,000124-19-6_group1,000140-11-4_group1,000141-78-6_group2,000142-82-5_group2,000149-57-5_group1,000353-66-2_group1,000470-82-6_group1,000496-11-7_group2,000541-73-1_group2,000589-34-4_group2,000589-81-1_group2,000611-14-3_group2,000615-74-7_group1,000617-94-7_group1,000620-14-4_group1,000761-65-9_group1,001074-43-7_group1,001074-55-1_group2,001122-82-3_group1,001203-17-4_group1,001640-89-7_group2,001762-27-2_group1,002216-33-3_group1,002809-64-5_group2,003387-41-5_group1,003877-15-4_group2,005989-27-5_group1,013475-82-6_group1,018631-83-9_group2,019549-87-2_group1,027750-45-4_group1,038165-93-4_group1,054446-78-5_group1,063521-76-6_group3,095798-15-5_group1,1000132-10-9_group2,1000308-17-8_group1,1000309-13-0_group1,1000386-40-2_group1,1000401-12-0_group1,1000417-00-6_group1
0.8837,0.2221,,,0.6244,,0.5169,,1.1005,0.244,0.5797,0.6668,0.9919,,,,,1.2753,0.3595,,0.6447,,0.6679,,,,,0.9814,,,,,0.6985,,0.2179,,0.1837,,0.1946,,1.1566,0.3301,,,,,,,0.3765,,,,0.2717,0.2179,,0.352,0.1571,0.0704,,0.2342,,0.1515,,1.9156,,,,,,,,0.5445,,,,,,
0.6738,,,,0.4468,0.1196,0.5003,,,,0.5299,0.7799,0.4051,,,,,1.3832,0.3293,,0.6149,,0.9642,,0.2398,0.2963,,0.0678,,0.1173,,,0.6792,,,,,,0.2354,,0.107,0.3654,0.0977,,,,,,,,,,0.6773,,,0.5017,,,,,,,,0.5754,,,,,,,,0.6837,,,,,,0.0442
0.6466,,,,1.2023,,0.4593,,0.7473,0.0822,0.4561,0.7021,0.633,,,0.0633,,,,,0.5192,,0.3965,,,,0.0657,0.2911,,,,,0.5896,,0.2371,,0.1383,0.4385,0.2058,0.0487,0.3644,0.3146,0.1395,,,0.3522,,,,,1.1787,,0.2767,0.2318,,0.4076,,,,,,,0.0433,0.7129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7098,,,,,,0.4345,,1.0855,0.1259,0.4789,0.707,0.8125,,,0.0946,,1.1201,,,0.4844,,0.6483,,,,,0.5288,,,,,0.5195,,,,0.1348,,0.1756,,0.7547,0.2593,,,,0.3219,,,0.437,,0.9332,,0.3188,0.2651,,0.3517,0.1708,,,,,,,0.5143,,,,,,,,,,,,,,
,,0.0439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0575,,,,,,,,,,,,,,,,,,,,,,0.1049,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3515,0.0389,,,,,,,,,,,,,,,,,,,,,,0.0964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,
,0.2081,0.0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2113,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2012,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.613,,,,,,,,,,,,,,,,0.1709,,,,,,,0.6289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0701,,,,,,,,,,,,,1.2094,,,,,,,,,,,,,,,,,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,0.647,0.0776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0935,,,,,,,,,,,,,,,,,1.6484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0798,,,,,,,,0.5628,,,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,,,
,0.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1595,0.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0466,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0743,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1718,,,,,0.4007,1.9017,,,,,,,,,,,,,,,,,,,,,,,,,,0.2321,,,,,,,,,,,,,,,,,,0.0983,,,,,,,,,,,
,,,,,,,,,,,,,1.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5081,,,,,,,,,,,,,,,,,,0.0476,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.3531,0.944,,,,0.4135,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,,,,,,,,,,,,,,,,,,0.051,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.6135,,,,,,,,,,,,,,,,,,,,,,,,,,0.2723,,,,,,,,,,,,,,,,,,0.0386,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9532,,,,,0.4772,,,,,,,,,,,,,,,,,,,,,,,,,,0.4636,,,,,,,,,,,,,,,,,,0.0349,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1455,1.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1517,,,,,,,,,,,,,,,,,,0.0628,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1044,1.2582,,,,,1.4458,,,,,,,,,,,,,,,,,,,,,,,,,,0.2469,,,,,,,,,,,,,,,,,,0.0533,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4028,,,,0.2145,1.1154,,,,,,,,,,,,,,,,,,,,,,,,,,0.7812,,,,,,,,,,,,,,,,,,0.0249,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2556,1.1377,,,,0.2737,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1782,,,,,,,,,,,,,,,,,,0.0324,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5695,,,,,,,,,,,,,,,,,,0.0418,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1139,1.5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4359,,,,,,,,,,,,,,,,,,0.0403,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,0.0267,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0538,1.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,,,,,,,,,,,,,,,,,,0.0368,,,,,,,,,,,
,,,,,,,,,,,,,1.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.195,,,0.0995,0.1526,0.0479,0.2254,0.0659,0.2567,,0.348,0.4119,0.5139,,0.2281,,0.0916,0.5411,1.2325,0.0218,,,0.867,0.0096,0.2605,,,0.0483,0.0058,,,0.1669,,,0.0436,,,,0.1954,,0.0527,0.1547,,0.2674,0.3844,,,,0.0609,,0.4485,,0.4182,,,0.1177,0.0427,,,,,,,0.3715,,,0.0509,,0.8213,,,0.7959,,,,,,
0.26,,,0.1547,0.1911,0.0754,0.5884,0.1115,,0.0964,,0.6107,0.8138,,0.3299,,0.289,0.9247,1.8824,0.0432,0.7966,,0.8415,0.0138,,,,0.1047,,,0.7673,0.1591,,,0.0836,,,,,,0.0994,0.2474,,,,,,,0.2256,,,,,0.3025,,0.2796,,0.0073,,0.0364,0.3472,,0.0578,0.5887,,,0.0716,,,,,,,,,,,
0.2601,,,0.1239,,,0.2701,0.1025,0.3118,0.0687,0.2101,0.6594,0.5191,,,,,0.722,1.2019,0.0183,0.6752,,0.4065,0.0045,0.2825,,,0.049,,,0.1993,0.1421,0.5683,,0.0554,,,,0.2904,,0.0482,0.1954,,,,,,,0.1785,,,,0.5268,,,0.1577,0.0684,,,,0.2248,,,0.5362,,,,,,0.1831,,,,,,,,
0.2954,,,0.0915,0.0876,,0.4194,0.0795,,,0.2786,0.4914,0.6713,,,,,0.729,0.9042,0.0266,0.2146,,0.4969,,0.3649,,,0.0615,0.0117,,,0.125,0.4302,0.0362,0.0456,,,,0.2394,0.0304,0.0632,0.1828,,,,,0.0469,,0.1937,,0.6981,,0.1054,,,0.2196,0.2909,0.0057,,,0.1954,,,0.495,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.316,,,0.1477,,,0.29,,0.3891,0.135,0.5794,0.4318,,,,,,,,,,,,,,,,0.2934,,,,0.0637,,0.0089,,,,,0.1341,,,0.1539,,,,0.3972,0.4781,,,,,,0.5473,,,0.3196,0.2893,,,,0.1251,,,0.6396,,,,1.1382,,,,,,,,,,
0.0687,,,0.1036,,,,0.1053,0.5578,0.6808,1.3542,0.4616,0.8226,,0.203,,,0.5656,0.5476,0.0037,0.3185,,0.5635,,,0.3452,,0.0215,,,,0.2427,,,,,,,0.1297,,0.0978,0.1644,,,1.4792,,,,0.2141,,0.4477,,0.2355,0.2471,,0.4598,0.4953,,,,,,,,,,,,,,,,,,,,,
0.2249,,,0.1607,,,0.451,,0.5626,0.1345,0.6331,0.4256,0.5388,,,,,0.4176,0.3969,,,,0.5867,,,,,0.2837,,,,,,0.0002,,,,,0.0875,,,0.1103,,,,,,,,,,,0.5365,,,0.2736,0.2541,,,,0.1463,,,0.852,,,,,,,,,,,,,,
0.2496,0.1413,,0.1614,,,0.3679,0.109,0.7132,0.1251,,0.5696,0.7657,,0.3912,,,0.6939,0.293,,0.2196,,0.7999,,0.2671,,,0.0492,,,0.6878,,0.6133,,,,,,,,0.5067,0.1919,,,,,0.3,0.2234,0.2993,,,,0.6388,,,0.3962,0.3262,,,,0.1848,,,0.5426,,,,,,,,,,,,,,
0.297,,,0.1934,,0.0771,0.7894,,,0.1179,0.291,0.5957,0.8634,,0.2866,,0.293,0.6354,,0.0725,,,0.5731,0.0221,,,,0.174,0.0122,,0.2115,,0.4003,,0.0678,,0.2072,,,0.0466,0.2871,0.3054,,,,,0.1609,0.0983,0.3505,,,,0.2391,0.3821,,0.328,0.323,0.0148,,0.0498,0.2148,,,3.0711,,,0.0253,,0.7495,,,,,,,,,
0.632,,,,,,0.4692,0.2475,0.7168,0.0715,0.4157,0.5768,0.6558,,0.348,,,0.6984,,0.393,0.216,,0.609,0.053,0.4959,,,,0.0357,,,0.0679,0.2938,0.0308,0.0693,,,,,,0.1894,0.1383,,,,,,,0.1798,,,,,,,0.1898,0.1502,,,,,,,0.7444,,,,,1.1083,,,1.8851,,,,0.4269,,
0.4765,,,0.1531,0.3447,0.0759,0.5364,,,0.0604,,0.7095,0.5295,,0.1908,,,0.7089,,0.0277,,,0.2318,0.0049,0.5053,0.3905,,,0.0031,,0.6673,0.1808,0.7376,,0.1223,,0.0811,,,0.0276,0.0738,0.2069,,0.4861,0.2336,0.4386,0.0538,,0.1669,,,0.545,,,0.0515,0.3664,,,,,,,0.0339,0.868,,,0.037,,,,,,,,,0.0721,,
0.6703,,,0.101,,0.0233,0.3917,0.1978,1.1395,0.1646,,0.4375,0.6827,,0.7617,,,0.695,,0.4256,0.5925,,,0.1027,0.4269,0.1695,0.0857,,,,,0.1065,0.2657,0.0346,,,0.1968,,,,0.2658,0.1282,,,,,0.4551,,,,,,,,,0.2939,0.1894,0.0314,,,,,,,,,0.0373,,,0.1895,,,,,0.346,0.5633,,
0.6494,0.1915,,0.1166,,,0.3032,0.0881,0.691,0.1069,0.3621,0.4372,0.5504,,0.2315,,,0.5882,0.2722,0.6628,0.2227,,0.5364,0.3098,0.257,,,1.0002,0.3945,,,,0.4318,0.0309,0.0831,,,,,,0.5005,0.133,,,,,0.9175,,0.257,,,,0.4865,,,0.1926,0.1658,0.0887,,,,,,0.6894,,,,,,,,,,,,,,
0.4076,,,0.1445,,,0.5378,0.157,0.6666,0.0804,0.2697,0.8047,0.7215,,0.2874,,,0.6998,,0.6886,,,0.9302,0.1112,,,,,0.1008,,,0.1777,0.7695,,0.1491,,0.1019,0.6602,,0.2615,0.3307,0.187,,,,0.6324,,,0.7049,,,,,0.4363,,0.3538,,,,0.0634,,,,1.196,,2.5994,0.0373,,,,,,,,,0.7957,,
0.3457,,,0.0848,0.8953,,0.372,0.1387,0.6843,0.0907,,0.4136,0.6293,,0.2931,0.1395,0.1496,0.6919,,0.3509,0.2334,,0.4477,0.0478,0.5252,0.156,,0.3746,0.0483,,,0.0639,0.2184,,0.0553,,0.1016,,0.2156,0.0695,0.1483,0.1037,,0.135,,,,,0.1653,,0.575,,,,0.0611,0.1359,0.1513,0.01,,,,,,0.6659,,,0.02,,,,,,,,,,,
0.2638,,,0.1922,,,,0.1281,0.8361,0.1092,,0.9729,0.9265,,,0.1678,0.3248,0.9009,,0.5282,0.6572,,0.4723,0.0611,0.3292,0.3609,,,0.0518,,0.5139,0.2615,,,0.0888,,0.1429,,,,0.2009,0.2669,,,,,,,0.4418,,,,0.7103,,,0.4212,0.246,0.0146,,,,,,1.4513,,,,,,,,,,,,0.4467,,
0.4032,,,0.1495,,,0.3625,0.0938,0.7405,,,0.4837,,,,,,,0.5136,0.0268,0.5121,,,,,,,0.0566,,,,0.0602,,0.0241,,,,,,0.0101,0.1204,0.1357,,,,,,0.0641,,,,,0.3395,,,0.2683,0.0999,0.007,,0.0186,,,,0.7635,,0.0402,0.0073,1.4837,,,,0.4544,,,,,,
0.5422,,,0.1195,,0.0936,0.5546,0.0887,0.8865,0.1173,,0.5395,0.6791,,0.3186,0.1645,0.3141,0.9137,0.3238,0.1204,0.1959,,0.6607,,,0.1525,,0.2627,0.0332,,0.6609,,0.497,0.0196,0.0616,,,,,0.0559,0.3249,0.1545,,,,,0.2647,0.1537,0.2829,,0.8141,,,0.3505,,0.3634,0.3913,0.0286,,0.0781,0.1733,,0.0645,0.6859,,,0.0763,1.5375,,,,,,,,,,
0.3461,0.2146,,0.2004,,0.1232,0.6744,0.1379,0.482,0.0881,,1.1021,0.7574,,0.2387,,0.2776,1.2753,,0.0528,0.4606,,1.058,0.019,,,,0.1431,0.0169,,1.3433,0.2089,1.052,,0.2107,,0.1297,,,0.0593,0.1529,0.2521,,,,1.0334,,0.0748,0.1422,,0.9061,0.308,,0.2872,,0.5139,,0.0091,,0.0324,,,,1.7321,,,0.0642,,,,,,,,,,,
0.158,,,0.1634,0.8669,0.068,0.7469,0.1218,,0.1039,,0.7018,0.7154,,,0.146,0.2928,1.1153,,0.041,0.9695,,0.3483,,0.3075,,,0.105,,,1.0717,0.1386,0.7815,,0.0912,,0.1517,,0.3118,0.0618,0.1214,0.2218,,,,,,,0.1681,,0.8012,,,,,0.5574,,0.0052,,0.025,,,0.0302,1.7206,,,0.0704,,,,,,,,,,,
0.5896,,,0.1388,,0.0454,0.4813,,,0.0951,,0.5149,0.6246,,,,,0.6163,,0.0291,0.2388,,0.4149,,0.6527,,,0.0728,0.0108,,0.5754,,0.292,0.0738,0.1151,,0.4252,,,0.0244,0.1175,0.13,,,,,0.0672,0.075,0.2224,,,,0.1423,,,0.6374,0.3245,0.0077,,0.029,0.1446,,,6.1993,0.2008,,0.0597,,,,,,,,,,,0.078
0.4878,0.2626,,0.1141,0.3593,,0.3309,0.1002,0.8247,0.1154,,0.613,0.7673,,,,,0.4733,,0.087,0.997,,0.6794,,0.4577,,,0.1695,0.0218,,0.3846,0.1567,,0.0127,0.1522,,,,,,0.2542,0.1627,,,,0.4823,0.1993,0.1723,0.3513,,0.6653,,0.3811,,,0.4495,0.1,0.0202,,0.0776,0.1094,,,,0.2696,,0.0778,,,,,3.9185,,,,,,0.1187
0.7108,,,0.1252,,,0.3359,0.1203,,0.1042,,0.7105,0.7336,,0.2567,,,0.8246,,0.0764,0.3363,,0.7519,0.0544,0.2545,,,0.1778,0.0116,,,0.1013,0.373,0.014,0.0733,,,,,,0.2443,0.1558,,0.6539,,0.6222,0.1678,0.1744,0.2435,,,,0.3885,,,0.3988,,0.0179,,0.2993,0.1524,,,1.0334,,,,,,,,,,,,,,
0.4519,,,0.1427,,0.0905,0.3074,0.105,1.0179,,,0.6427,0.6834,,0.3253,,,0.7079,,0.0991,,,0.3275,,0.571,,,0.2078,0.0224,,0.5899,0.1087,,,0.1002,,,,,0.0574,0.2586,0.1791,,,,,0.1968,0.1641,0.2153,,0.6448,,0.1216,,,0.5447,,0.022,,0.083,0.1667,,0.0495,1.0052,,,0.069,,,,,,,,,,,
0.3846,,,,,0.0604,0.4961,0.179,0.9458,0.0992,,0.5265,0.8014,,0.3216,,,1.3033,,0.0895,0.3228,,0.5224,0.0276,0.448,0.1711,,0.21,0.0161,,0.9302,0.1103,,0.02,0.0841,,,,,0.0457,0.2089,0.1479,,1.1443,,0.4362,0.1715,0.1061,0.219,,,,,,,0.4021,,0.0122,,,,,0.0384,1.2897,,,0.0615,,,,,,,,,,,
0.446,,,0.1309,0.0852,0.109,0.3477,0.0897,0.4761,0.0599,,0.3836,0.4718,,,,,0.7893,,0.0256,1.2474,,0.2871,,0.2719,0.3287,,0.0745,0.0081,,0.462,,,0.07,,,,,,0.0301,0.0926,0.1592,,,,0.4332,0.061,0.0544,0.1776,,,,0.393,,,0.2306,,0.0031,,0.0189,0.124,,,0.4479,,,0.019,1.2804,,,,,,,,,,
0.4233,,,0.0835,,,0.283,,0.6201,,,0.3591,0.9624,,,,,0.7105,,0.0574,0.2787,,,,1.4238,0.2749,,0.1448,,,0.3913,,,0.0427,,,,,,0.0679,0.1911,0.0927,,,,,0.1278,0.2313,0.1335,,,,0.3244,,,0.3644,,,,,0.0735,,,2.6862,,,0.255,,,,,,,,,,,
0.4307,,,0.1041,0.1135,0.0746,0.2796,0.1041,0.6495,,,0.4534,0.607,,,,,0.6412,0.4678,0.0289,0.1584,,,,0.3487,,,0.0808,,,0.3185,0.1006,0.2863,0.0491,0.0645,,,,,0.1262,0.093,0.132,,,,,,0.0605,0.1388,,,,0.0803,,,0.613,,0.0032,,,0.1071,,,0.6835,,,0.062,,,,,,,,,,,0.1019
0.5515,0.247,,0.1091,1.1561,0.1091,0.2834,0.0836,0.5498,,,0.5892,0.7282,,,,,0.8755,,0.1062,,,0.4385,,0.6092,0.1494,,0.3089,0.027,,0.6349,,0.5957,0.0277,0.0806,,,,,0.071,0.346,0.1207,,,,0.2332,0.259,0.1826,0.1594,,0.7349,,0.1055,,,0.6585,,,,0.0684,0.1862,,,0.7637,0.2173,,0.0658,2.0572,,,,1.3298,,,,,,0.1107
0.4596,0.1965,,0.1166,0.7888,0.0911,0.2325,0.1102,0.5266,,,0.6022,0.5658,,0.2024,,,0.9131,,0.0331,0.3259,,,,1.0433,,,0.0819,0.0051,,0.9373,0.1059,0.529,0.018,0.1056,,,,,0.0346,0.1139,0.1592,,0.3607,,0.2616,0.0738,0.0735,0.1653,,,,0.3816,,,0.3994,0.2944,0.0053,,,0.1441,,0.0947,0.8123,,,0.197,,,,,,,,0.7092,,,0.1433
