000067-64-1_group2,000067-68-5_group1,000074-95-3_group1,000077-68-9_group1,000078-79-5_group2,000078-93-3_group1,000091-20-3_group1,000095-16-9_group2,000095-47-6_group2,000098-82-8_group2,000098-83-9_group2,000098-86-2_group2,000100-41-4_group3,000100-41-4_group4,000100-42-5_group1,000100-80-1_group1,000103-65-1_group1,000104-76-7_group1,000106-46-7_group2,000107-83-5_group2,000107-92-6_group1,000108-67-8_group2,000108-67-8_group3,000108-87-2_group2,000108-94-1_group1,000109-52-4_group1,000110-43-0_group1,000110-54-3_group2,000110-82-7_group1,000110-88-3_group1,000110-93-0_group2,000110-98-5_group1,000112-31-2_group1,000115-11-7_group2,000119-36-8_group1,000120-92-3_group1,000123-35-3_group1,000124-19-6_group1,000140-11-4_group1,000141-78-6_group2,000142-82-5_group2,000149-57-5_group1,000353-66-2_group1,000470-82-6_group1,000496-11-7_group2,000541-73-1_group2,000589-34-4_group2,000589-81-1_group2,000611-14-3_group2,000615-74-7_group1,000617-94-7_group1,000620-14-4_group1,000761-65-9_group1,001074-43-7_group1,001074-55-1_group2,001122-82-3_group1,001203-17-4_group1,001640-89-7_group2,001762-27-2_group1,002216-33-3_group1,002809-64-5_group2,003387-41-5_group1,003877-15-4_group2,005989-27-5_group1,013475-82-6_group1,018631-83-9_group2,019549-87-2_group1,027750-45-4_group1,038165-93-4_group1,054446-78-5_group1,063521-76-6_group3,095798-15-5_group1,1000132-10-9_group2,1000308-17-8_group1,1000309-13-0_group1,1000386-40-2_group1,1000401-12-0_group1,1000417-00-6_group1
0.485,,,0.1254,,0.0289,0.4251,,0.5274,,,0.4912,0.4733,,,,,0.5258,0.374,0.0246,0.3534,,,,,0.1654,,0.0631,0.0064,,0.1418,0.1128,0.431,0.0661,0.113,,0.1992,,,0.0297,0.1277,0.1341,,,,,0.0686,0.0735,,,,,0.5447,,,0.3703,0.2311,0.007,,0.0315,,,0.0278,,,,0.0194,,,,,2.1308,,,,,,
0.4716,,,0.1008,,0.0453,0.3429,,0.7675,0.0851,,0.5205,0.7147,,0.2478,0.0703,,0.977,,0.0438,0.201,,0.6347,,0.3651,,,0.122,0.01,,0.6972,0.1176,,0.0735,0.0943,,,,0.1531,0.0401,0.1679,0.1418,,,,0.3311,,0.1131,0.1691,,0.5478,,0.4085,,,0.5918,,0.0105,,0.0441,,0.3163,,1.105,0.0765,,0.0733,1.1224,,,,,,,,,,0.0774
0.4526,,,0.1249,,0.0437,0.5264,,0.8478,0.1175,,0.5407,0.771,,,,,0.9192,,0.0433,0.3527,,0.6004,,0.3621,,,0.1038,0.0112,,0.7831,0.1189,,0.0737,0.1274,,,,0.1619,0.0668,0.2009,0.1636,,,,,0.1127,0.1199,0.2371,,,,0.3738,,,0.5896,,,,0.056,0.1622,,0.051,0.8749,0.0897,,0.0595,,,0.2118,,1.1614,,,,,,0.0868
0.6224,,,,0.8441,0.045,0.2323,0.1009,,,,0.585,0.5626,,0.1825,,,0.9471,,0.0815,0.2709,,0.1956,0.0902,0.4948,,,0.2173,0.0282,,0.5901,,0.4027,0.0269,0.0539,,0.1295,,,0.028,0.2218,0.1461,,,,0.207,0.2434,0.1012,0.1219,,0.8037,,0.3513,,,0.4955,0.2723,0.0155,,0.0374,0.1313,0.2443,,2.1203,0.1356,,0.0442,,,,,,,,,,,0.0821
0.4547,,,0.1853,,,0.3066,,0.8876,,,0.4386,0.8161,,0.3012,,,0.8274,,0.2212,0.4734,,0.5477,1.1739,0.4433,,,,,,0.6911,0.1517,,0.0222,0.1108,,,,0.2904,,,0.1539,,,,,0.9463,0.1219,0.2838,,0.4196,,0.161,,,0.4101,,,,0.2886,0.1642,0.6755,,1.3274,,,0.2073,,0.6666,0.1665,,,,,,,,
0.2418,,,0.1298,,,0.351,0.2192,1.1344,0.1199,,0.5387,0.7996,,0.2327,,0.1482,1.3102,,0.0497,0.3484,,0.2147,0.0385,0.6529,,,0.1147,,,0.9376,,0.387,,0.1108,,,0.7356,,0.0922,0.1221,0.1441,,0.3022,0.1391,0.3318,0.1301,0.0637,0.1991,,,,,,,0.3213,,,,,,,0.2131,1.2408,0.0848,0.32,0.1662,,,,,,,,,,,0.1959
0.4901,,,0.0853,0.4362,0.04,0.4021,,0.7801,0.1177,,0.507,0.7032,,,,,0.8082,,0.0774,0.3952,,0.6215,,0.3788,0.1434,,0.1999,0.0192,,0.6195,,,0.0386,0.1143,,,,0.1212,,0.2899,0.1318,,,,,0.213,0.2244,0.2426,,,,0.2436,,,0.542,,0.0222,,,0.1245,0.1781,,,,,0.0635,,,,,0.6568,,,,,,
0.5498,,,0.1693,,,0.344,,0.6299,,,0.4756,0.8464,,,0.103,,0.7829,0.4102,0.09,1.7132,,0.535,,0.3689,,,0.2055,0.0237,,0.6028,,,0.0137,,,,,,,0.31,0.1193,,,,,0.2055,0.1786,0.2542,,0.775,,0.5259,,,0.5142,,,,0.0789,,,,,,,,1.4494,,,,,,,,,,0.0687
0.3674,,,0.1329,0.8982,,0.326,0.1151,,0.1121,,0.3835,0.9877,,0.2219,0.0704,0.3604,1.1662,,0.1195,0.2384,,0.6318,0.0325,0.6754,0.1751,,0.2409,0.0188,,0.9884,,0.595,,0.1148,0.206,0.123,0.711,,0.0677,0.2534,0.1483,,,0.1524,0.2362,0.1805,0.1294,0.2013,,,,,,,0.4033,,0.0141,,0.074,,0.3317,,1.9583,,,0.2571,,,,,,,,,,,0.2138
0.5098,0.2829,,0.1358,0.2865,0.0276,0.2713,0.1148,,,,0.415,0.5297,,,,,0.7839,,0.0719,,,0.4241,0.0273,0.4251,,,0.1441,0.0197,,0.7114,0.1299,0.4449,0.0512,,,0.2412,,0.2987,0.0132,0.1565,0.154,,,,,0.1266,0.0737,0.1381,,,,0.3995,,,0.5405,,0.0109,,,0.1352,,0.0205,,0.01,,0.0199,,,0.1917,,,,,,,,
0.5532,,,0.125,0.3952,0.0853,0.4415,,0.6624,,,0.5084,0.685,,,,,0.6701,,,0.1296,,0.8943,,0.5362,0.1595,,0.1822,,,0.4505,0.1109,,,0.1067,,0.2888,,,,0.2672,0.1461,,,,,,0.2159,,,,,0.0891,,,0.4103,,,,,0.1696,,,,,,0.0432,,,,,,,,,,,0.0791
0.5207,0.1752,,0.161,0.9149,,0.5027,0.1473,0.6168,0.107,,0.6126,0.8632,,,,,0.8292,,,0.4121,,0.315,,0.3928,0.228,,0.2985,0.0032,,0.8018,0.1329,0.2657,0.0344,0.0736,,0.4044,,,,0.2737,0.1778,,,,,,,,,,,,,,0.649,,,,,0.2307,,0.0357,,,,0.0349,,,0.2676,,,,,,,,0.0891
0.8329,,,0.1857,0.511,0.0231,0.3856,,0.5903,,,0.695,0.5964,,,,,0.9056,,,,,1.0825,,0.54,0.2554,,0.0477,,,0.4901,,,0.0425,0.1019,,,,0.2363,,0.1025,0.1405,,,,,,,,,0.8038,,0.4618,,,0.6135,,,,,,,,,,,0.0351,,,,,,,,,,,0.087
0.7056,,,0.2498,0.6319,0.0167,0.3061,,0.4479,,,0.6432,0.4213,,,,,0.3868,0.3151,,0.4187,,0.7858,,0.2364,,,0.0931,,,0.5041,0.1758,0.4142,0.1364,,,0.3056,,0.1504,,0.1619,0.1848,,,,,,,,,,,0.3162,,,0.4597,0.2966,,,,0.1606,0.5496,,,,,,,,0.2009,,,,,,,,
0.7411,,,0.262,1.8383,0.1311,0.4327,,1.0636,0.1372,,0.9874,0.9967,,,0.0992,,1.0424,,,0.5288,,1.2762,,0.367,0.2199,,0.7446,,,0.4736,0.1564,0.5836,0.0283,0.1401,,,,0.1679,,0.6735,0.1401,,,0.2676,0.366,,0.2998,,,0.7394,,,,,0.6182,,,,,,,,,,,0.0239,,,,,,,,,,,
0.554,,,0.3294,0.0487,0.3059,0.4942,,,0.1089,,1.1464,1.1607,,,,,1.0256,,,1.2559,,1.2707,,0.2654,,,0.0151,0.0001,,0.8242,0.2438,,,0.1968,,0.3924,,0.3512,0.1805,0.1047,0.2331,,,,0.5777,,,0.3098,,1.1411,,0.2329,,,0.9969,,,,,,,,0.8885,,,0.0214,,,,,0.24,,,,,,
0.5657,,,0.2718,,,0.4123,,1.2489,0.1622,,0.748,1.3063,,,0.115,,1.0701,0.476,,0.5328,,1.556,,0.3818,0.3509,,0.5752,,,0.9275,0.2622,,0.0496,,,0.3724,,0.2188,1.8497,0.6882,0.1797,,,,,,,0.3555,,0.719,,0.5537,,,0.6801,,,,0.1162,,,,1.1061,,,0.0418,,,,0.162,,,,,,,
0.5184,,,0.3007,,,0.7767,,,,,0.6969,1.9194,,,,,1.023,0.771,1.1911,0.947,,0.6091,0.2968,,,,,0.079,,0.9272,0.162,,0.043,,,0.9024,,0.2636,,0.7492,0.1606,,,,,0.5419,,0.173,,0.7878,,0.6672,,,0.854,,,,,,,0.1724,0.7923,,,,,0.6323,,,,,,,,,
0.5624,0.1448,,0.136,,,0.4133,0.1004,1.2413,0.1237,,0.6419,1.2067,,0.3774,0.1194,,1.0648,0.3011,,0.2697,,0.5053,,0.4557,0.2128,,2.4868,0.1239,,0.9421,0.1137,,,0.0596,,0.245,,0.1725,,1.4967,0.1417,,,,,,0.5581,0.2847,,0.75,,,,,0.5655,,,,,,,,1.3269,,,0.1061,,,,,,,,,,,
0.3149,,,0.1569,,0.0751,0.4685,,0.5458,0.2109,,0.5065,0.8184,,,,,,,,0.4033,,0.464,,0.414,0.3002,,0.1101,,,0.4675,,0.4538,0.0406,,,,,0.2391,,0.222,0.2007,,,,,,,,,0.7407,,0.5845,,,0.625,,,,,,,,,,,0.0706,,,0.385,,,,,,,,
0.6496,,,0.2131,,,0.2906,,0.6885,0.0878,,0.543,0.6833,,,,,0.4556,,,0.1844,,1.0221,,0.4597,,,0.2451,,,0.6518,,,0.1084,0.1019,,,,0.2035,,0.3555,0.1729,,,,,,,,,0.6904,,0.5103,,,0.6992,,,,,,,0.146,,,,0.0733,,,,,,,,,,,
0.563,,,0.1212,,0.0622,0.4044,,0.6231,0.0895,,0.541,0.7764,,,,,,,,,,,,,0.1917,,,0.0066,,0.5409,,,0.093,,,0.2844,,,,0.3265,0.1498,,,,,,,,,,,0.5176,,,0.6415,,,,,,,,,,,,,,0.3632,,,,,,,,
0.6436,,,0.2143,,,0.3284,,1.0715,0.1769,,0.664,1.1364,,0.3202,,,0.6913,,,,,0.4332,,0.6934,0.1673,,0.4361,,,0.8728,0.133,,,,,0.401,,,,0.695,0.1303,,,,0.3685,,,0.3713,,0.6021,,0.2488,,0.2863,0.4609,,,,0.3847,0.0951,,,,,,,,,,,,,,,,,
,,0.0692,,,,0.1516,,0.2246,0.0485,,0.3329,0.4084,,,,0.0892,,,0.2382,,,,,,0.2737,,0.1512,,,0.184,,,,0.1139,,0.0799,0.2276,,,0.058,0.107,,,,,,,0.1098,,,,0.1862,0.0764,,0.2465,,,0.5491,0.1793,,0.0305,,0.8278,,,0.1338,,,,0.0563,,,0.0378,0.5216,,,
,,0.0707,0.0864,,,0.2361,,,,,0.6251,0.8678,,0.6674,,0.1874,,,0.9943,0.3857,0.2918,0.7194,,,,,,,,0.1921,,,,0.0918,,0.0629,,,,0.3471,0.1235,,0.044,,,,,0.2379,,,0.3567,0.2566,0.1188,0.07,0.3007,,,,,,,,0.4079,,,0.1388,,,,,,,0.0474,0.2097,,,
0.5796,0.1571,0.0388,,0.4934,,0.0873,,0.613,0.0219,,0.3115,0.4296,,,,0.0692,,,,0.4168,,0.4999,,,0.544,0.0259,,,,0.0863,,,,0.0355,,,0.2956,,,0.0963,0.0738,0.0236,,,,,,0.0892,,,,,,,0.2119,,,0.3998,,,,,0.123,,,0.1245,,,,,,,,,0.1199,,
,,0.0381,,,,0.1576,,,0.0318,,0.2812,0.5535,,,,0.1045,,,0.2732,0.3466,0.2237,0.5893,,,0.1925,,0.2225,,,0.1639,,,,0.0274,,,0.3525,,,0.1332,0.0821,,,,,,0.0994,0.1375,,0.2211,,0.1323,0.0694,,0.1144,,,0.4988,,,,,0.1569,,,0.1988,,,,0.0822,,0.0773,0.0157,,,,
,,0.0615,0.0661,,,0.1955,,,0.024,,0.3892,0.3562,,,,0.088,,,0.4019,,,0.0729,,,0.3503,0.0236,,,,0.202,,,,0.1076,,0.0724,0.3434,,,,0.1015,,,,,,,0.0771,,,,,0.0795,,0.2447,,,,,,0.1455,,1.6547,0.1768,,0.2335,2.1918,,,,,0.0837,0.0753,,0.2394,,
,,0.0637,,,,,,,0.048,,0.4576,0.6625,,,,0.2593,,,0.3032,,,0.1296,,,0.3415,,,,,0.1636,,,,0.1636,,0.2379,0.3103,,,0.1294,0.0793,,,,,,0.1041,,,,,0.3863,0.0914,,0.2255,,,0.547,,,0.1155,,4.2588,1.3289,,0.1508,,,,,,0.0523,,,0.2323,,
,0.2069,0.0647,,0.6817,,0.3278,,,,,0.5287,0.5983,,,,0.1526,1.271,0.2919,0.3775,,0.2746,0.1865,,,,,0.2519,,,0.2924,,1.2428,,,,0.0255,0.9303,,,0.1041,0.1,,,,,,,0.1541,,,0.2813,,0.1214,,,,,0.8522,,,,,0.4575,,,0.1726,0.8711,,,0.1833,,0.102,,,,0.2139,
,,0.1392,,,,0.237,,,0.0342,,0.3805,0.3771,,,,0.1045,0.7208,,0.4341,,,,,0.1482,,,0.2529,,,0.1908,,,,0.1317,,0.0718,0.4889,,,,0.0756,,,,,,,0.0785,,,,,0.0872,,0.191,,,0.7034,,,0.1129,,1.7684,0.1086,,0.2071,,,,,,,,,,,
0.2688,,0.0693,,0.5673,,0.1528,,0.2561,,,0.357,0.4016,,,,,,,,0.2572,,0.3838,,0.1172,0.3178,,0.045,,,0.4604,,,,0.0446,,,,,,,0.06,,,,,,,,,,,0.224,0.0713,,0.4862,,,2.5154,,,,,0.1591,,,0.0611,,0.8295,,,,,,,,,
,0.0908,0.0395,0.0393,,,,,1.0272,0.0536,,0.2329,0.5687,,,,0.3642,,,,,0.2772,0.6383,,,,,1.3578,,,0.1839,,,,0.0449,,0.052,0.0959,,,,0.0437,,,,,,,0.1719,,,1.3875,0.1144,0.0673,0.0475,,,,0.1308,,,,,0.5337,,,0.2546,,,0.0442,,,,0.0099,,,,
,,0.0581,0.1212,,0.1251,0.2762,,,0.09,,0.4564,1.0608,,0.9403,,0.2525,0.8974,,0.5191,,0.4023,1.1394,,,,,,,,0.3104,,0.9875,,,,,0.7921,,,0.2662,0.1763,,,,0.2008,,0.2163,0.3032,,,,,0.126,0.0831,,,,0.1768,,,,,0.1836,,,0.2174,,,,,,,,0.5902,0.434,0.2052,
,,0.0526,0.13,0.4245,,0.2976,,2.7668,0.1221,,0.3658,,,0.8818,0.1128,0.3634,,0.4225,,,0.0498,1.7267,,,,,0.3634,,,0.1659,,0.9373,,,,,0.6364,,,0.5051,0.0768,,,,,,0.3118,0.4225,,,2.2158,,0.1386,,,,,0.1469,,,,,1.2762,,,0.122,,,,0.2325,,0.0806,,,,0.2075,
,,0.0886,0.1302,0.6853,,0.3805,,0.7314,0.0458,,0.4818,0.5023,,,,0.1372,,0.3427,0.4167,,,0.7759,,,,,0.2913,,,0.3674,,0.9948,,0.0871,,0.0246,0.7903,,,0.0814,0.1334,,,,,,,0.1529,,,,,0.1127,,,,,0.1803,,,0.0523,0.0896,0.4045,,,0.1865,,,,,,0.0905,,,,0.2125,
,,,0.1527,,,0.3297,,1.6502,0.1589,0.2884,0.4368,,,0.8876,,0.7,,,,0.3566,0.4461,1.5363,,0.3608,0.2916,,0.4348,,,,,0.7374,,,,0.2321,0.6033,,,0.3541,0.1047,,,,0.301,,,0.4195,,,1.8813,,,,0.4513,,,0.3327,,,,,0.8479,0.1844,0.7218,0.1472,,1.766,,,,0.1217,,,,0.1533,
,,0.0382,,,,0.2833,,1.3514,0.0623,,0.2985,,,,,0.2713,,,,0.4405,0.3481,0.4076,,,0.6549,0.0279,0.1828,,,,,,,0.1145,,,,,,0.414,0.0846,0.0123,,0.1671,,,0.0981,0.3031,,,1.688,,0.375,,0.213,,,0.1324,,,0.0366,,0.2252,,,0.0915,,,,0.1548,,,,,,,
1.0157,,0.1248,0.1799,0.519,,0.3253,,0.4783,0.0812,,0.5239,,,,,,1.8162,0.2707,,,,0.6301,,0.7538,,,0.0532,,,,,0.8463,,,0.1665,,,,,0.0602,0.1371,,,,,,,,,,,,,,0.6134,,,2.518,,,,,0.2609,0.0422,,0.046,,,,,,0.0633,,,,0.1807,0.0467
0.8004,,0.0962,,,0.0875,0.2616,,,,,0.4358,0.6551,,,,,0.9439,0.3857,,,,,,0.2031,,,0.0642,,,,,0.6422,,,0.1185,0.2107,,,,,0.1019,,,,,,,,,,,,,,0.7281,,,4.867,,,0.2798,0.3499,2.0492,,,0.015,2.5279,,,0.2374,,,,,,0.1521,
0.3905,,,,0.3575,,0.2387,,,0.0159,,0.4274,0.3352,,,,0.0558,,,,0.3852,,0.0989,,,,0.0148,,,,0.1803,,,,0.0679,,,0.35,,,,0.1274,0.0173,,,,,,,,,,,0.0734,,,,,0.2067,,,,,0.256,,,0.0888,,,,0.0356,,0.067,0.0354,,0.0375,,
,,0.0459,,,,0.1412,,0.6719,,,0.3024,,,,,0.1448,,,0.4237,0.164,,0.6201,,,,,0.2754,,,,,,,0.0512,,0.0359,,,,0.0665,0.0623,,,,,,,0.123,,,,,,,0.2496,,,0.3889,,,0.0472,,0.2859,,0.4295,0.247,,2.5107,,0.0451,,,,0.1335,,,
,,,,0.3495,,0.1702,,0.3563,0.0333,,0.2001,,,,,,,,,,,0.0859,,,0.1615,,0.0464,,,0.1256,,,,0.0244,,,0.2249,,,0.0271,0.044,0.0157,0.1782,,,,,0.0577,,,,0.1766,,,0.1488,,,,,,,,0.1657,,,0.1344,,,0.0525,,,,0.026,0.7423,,,
0.6288,,0.0306,,0.2921,,0.1694,,,0.0754,,0.3036,,,,,0.2131,,,,,,1.0381,,,0.2135,,0.2271,,,,,,,0.0315,,,,,,0.1761,0.0602,0.0175,,,,,,0.2213,,0.4349,0.6629,,0.1236,,0.5485,,,1.7612,,,,,0.1466,,,,0.0224,0.8618,0.0821,,,0.0503,,,,,
0.419,0.0694,0.0422,,,0.1594,0.2109,,0.7759,,,0.3064,,,,,,,,,0.2968,,0.8355,,,0.2504,,0.2256,,,,,,,,,0.4531,,,,0.2627,0.0731,0.0147,,,,,0.1342,0.283,,0.3089,1.4265,0.1854,0.0803,,0.3557,,,3.4384,,,0.2246,,2.2833,,,,0.9488,,,,,,,,,,
,,,,,,0.5308,,0.0877,0.1185,,0.4071,,,,,0.5396,,,,0.4208,,1.3424,,,0.3031,,0.1039,,,,,,,0.1015,,,,,,0.1037,0.0743,0.0248,,,,,,0.3667,,0.4071,1.6069,0.4439,0.2528,,0.5708,,,0.5733,,,,,0.3206,,,,,,0.1209,0.0827,,0.0418,0.0807,,,,
0.6957,,0.0634,,0.2836,0.0392,0.1694,,,0.0602,,0.5017,0.4505,,,,,,,,,,0.4615,,0.5657,,,0.0331,,,,,,,0.0888,,,,,,0.0386,0.0816,0.0136,,,,,0.061,,,,,,,,0.8173,,,6.4838,,,,,,0.0285,,,,1.067,,,,,,,,,0.0802
0.6803,,0.0786,,0.4267,,0.203,,0.7994,0.0516,,0.4981,1.0699,,,,,,0.6698,,0.3475,,0.3837,,0.451,,,,,,0.4203,,,,,,,,,,0.0542,0.073,0.0207,,,,,,,0.0149,,,0.2913,,,0.6431,,,4.9732,,,0.1184,0.0835,1.0487,,,,,2.6259,,,,0.0429,,,0.0194,,0.0249
0.4873,,0.0816,,,0.09,0.2632,,0.6591,0.0528,0.175,0.7249,0.4718,,,0.0593,0.1623,1.1074,,,,,0.7835,,0.1718,,,,,,0.4207,,0.5042,,0.1259,0.0728,0.0688,0.4169,,,0.04,0.1007,0.0183,,,,,,0.1497,,,,,,,0.5964,,,0.9185,,,0.0789,,1.1059,,,,,,,0.1119,,,,0.4487,0.0377,,0.0295
0.2968,,0.1084,0.1291,,,0.4299,,,0.0498,,0.745,0.7008,,,,,1.688,,,0.7912,,0.6013,,0.3845,1.1258,,,,,0.3272,,,,,,,,,,0.0633,0.1568,0.0148,,,,,,,,,,,,,0.9281,,,3.1105,,,,,0.7477,,,,,,,0.1911,0.8159,,0.1515,,,,
0.5702,,,0.1608,,,0.2785,,,0.1053,,0.6641,,,1.1011,,0.2627,1.3248,0.3125,,,,1.622,,0.1935,,,,,0.3123,0.2908,,0.5117,,,,0.085,,,,,0.1406,0.0064,,0.1683,,,,0.4238,,,,0.3611,,,1.2079,,,4.7348,,,,,1.0483,0.1389,,0.0458,1.9963,2.0301,,,,,,,,,0.0624
,,0.0335,,0.3935,,0.2364,,1.3538,0.0589,,0.3967,,,,,0.2886,,,,0.2798,0.3925,1.2808,,,0.4023,0.0213,0.3658,,,,,,,,,,,,,0.4586,0.0895,0.0238,,0.1553,,,0.1867,0.3623,,,1.8635,,0.1604,,0.2924,,,0.1459,,,,,0.7504,,,0.0645,,,,,,0.0494,0.0669,,,,
,,,,0.2044,,0.303,,0.5491,0.0673,,0.4063,0.8181,,,,0.2161,,,,0.5348,0.2963,0.4588,,,0.4558,,0.2372,,,,,,,0.1013,,,,,,0.2971,0.0837,0.0188,,,,,,0.3438,,0.4129,1.7991,,0.4549,,0.4375,,,0.2304,,,,,0.3851,,,0.0586,,,,0.1824,,0.0332,,,,,
0.4033,,0.0526,,0.1573,,0.3101,,,0.1127,,0.4643,1.0113,,,,0.2362,,,,0.7029,,0.5475,,,,,0.215,,,,,,,0.0722,,,,,,0.3735,0.1199,0.0194,,,,,0.1495,0.3559,,0.6282,1.3888,,0.4726,,0.5727,,,1.3246,,,,,0.3495,,,0.0747,2.1106,,0.2116,0.1438,,0.0584,,,,,
0.7158,,0.1499,0.1748,,0.0396,0.3024,,,,,0.8162,0.5069,,,,,,0.7317,,0.4324,,0.7914,,0.3302,0.6604,0.0817,,,,,,,,,0.3223,,,,,,0.1517,0.0184,,,,,,,0.0474,,,0.4884,,,0.7996,,,2.0462,,,,,0.2585,0.1099,,0.0672,,0.1857,,0.1512,,,0.0823,,,,0.1212
0.5333,,0.0976,,0.5408,0.0455,0.3612,,0.3371,0.0749,,0.8336,0.4088,,,,0.1379,1.7757,,,0.5529,,0.9662,,,0.2866,,0.0199,,,0.2801,,,,0.1559,0.1672,,,,,,0.1357,0.016,0.0905,,,,,0.187,,,,0.2512,,,1.1668,,,1.2671,,,0.1364,0.0422,0.3966,,,,0.6403,,0.2784,0.3557,,,,,,,0.034
0.7449,,0.0907,0.0776,,0.0977,0.2223,,,0.2821,,0.6606,,,,,0.4878,,0.2425,,,,0.3234,,,,,0.3477,,,0.332,,,,0.0563,,,,,,1.3404,0.0829,,0.9304,,,,0.447,0.5086,,,,0.2828,0.1231,,1.1937,,,2.5296,,,,,0.3995,,,,2.4663,2.2139,,0.09,,,0.0301,0.2601,,,
,,0.1542,0.0374,0.4104,,,,0.2712,,,0.4913,0.5822,,,0.0369,,,1.6276,,,,,,,,,0.0223,,,,,,,,,0.5988,,,,,0.0282,0.0162,,,,,,,,0.428,,0.1607,,,0.8169,,,1.8302,,,0.9415,,11.495,,,0.1059,1.8857,,0.1043,0.0826,,0.047,,,,,0.0468
0.6787,,0.14,0.1612,0.1954,0.0967,0.2602,,0.6466,0.078,,0.6903,0.6527,,,,,1.3808,0.262,,0.3781,,0.9299,,,0.4304,,0.0337,,,0.3009,,,,,0.2927,0.0642,,,,0.2251,0.114,,0.2232,,,,,,,,,0.4196,0.0872,,0.8356,,,1.5105,,,,,0.4417,,,,,,,0.0803,,,,,,,0.042
1.049,,0.1053,0.2245,,,0.381,,,,,0.6152,0.4403,,,,,0.8079,0.2615,,,,,,0.1072,,,0.0165,,,0.826,,0.8082,,,0.1318,0.0653,,,,,,,0.2172,,,,,,,,,,,,0.9594,,,2.8315,,,0.2828,,1.9174,,,0.0524,1.271,1.0001,,,,0.0589,,0.3901,,0.1966,0.0349
0.8844,,0.0742,,,,0.1569,,0.6291,0.0727,,0.341,0.9648,,,,0.2164,,,,,,1.3166,,0.2243,,,0.2312,,,,,0.5471,,0.028,,,,,,0.2344,0.0334,0.0208,,0.0873,,,,0.2434,,0.5434,,,,,0.6263,,,2.6421,,,,0.048,0.2693,,,,0.729,0.8686,0.0655,,3.0658,0.0589,,,,,0.0549
,,0.0887,,0.3964,,,,,0.0939,,0.3699,1.0031,,,,0.1955,,1.1429,,,0.5079,0.2487,,,0.28,,0.3547,,,0.1929,,0.5445,,0.0933,,0.061,0.3346,,,0.2215,0.0435,0.0121,,,,,,0.2757,0.0134,,,0.1841,0.1227,,0.4443,,,0.2743,,,0.1065,,2.2333,,,0.0944,,,0.0978,,,0.058,,,,,
0.3329,,,,,,0.2086,,,0.0485,,0.3176,0.6431,,,,0.1727,,,,0.8082,0.2917,0.9941,,,,,0.2119,,,0.1397,,,,0.0962,,0.025,0.3652,,,0.1225,0.0753,0.0127,,,,,,0.1616,,,,0.2135,0.0882,,0.2279,,,0.1305,,,,,0.4817,,,0.0983,,,0.082,0.3316,,0.0648,,,,,
,,,,0.8481,,0.3032,,0.7877,0.1053,,0.5271,,,0.6635,0.076,0.4298,,0.3905,,,0.5725,0.2873,,,,,0.3482,,,0.2221,,1.0177,,,,0.0639,0.4508,,,0.2724,0.0884,,,,,,,0.3134,,,3.15,0.2161,0.1262,,0.5079,,,0.2259,,,0.0702,,0.3154,,,0.1104,0.997,,,,,0.0838,,,,0.1598,
,,,0.0887,,0.2182,0.2715,,,0.1242,,0.4099,,,,,0.1951,0.9741,,,,,0.2781,,,0.4687,,,,0.441,,0.1748,,,,,,,,,,0.111,,,,0.3392,,,0.2683,,,,0.1967,,,0.3143,,,2.3384,,,,,0.3898,,,0.2284,,,,,,,,,0.9079,0.0958,0.162
0.3069,,,0.1562,,,0.2616,,,,,0.5459,0.8941,,,,,,0.1856,,0.6076,,0.9978,,,0.8789,,0.4545,,0.1125,,,,,,0.1552,,,,,0.3004,0.1213,,0.7988,0.1187,,,0.154,0.2897,0.03,,,0.3148,0.1425,,0.7505,,,1.1065,,,,,0.6371,,,0.074,,1.9721,,,,,,,,,
0.3161,,,0.1486,,0.0713,0.4227,,,0.1604,,0.7567,,,,,0.3516,1.7549,0.2422,,,,0.2867,,,,0.0851,0.139,,,0.5057,,0.9277,,,0.2177,,,,,0.1821,0.1472,0.0107,,0.142,,,,0.3658,,,1.6727,,,,0.7949,,,1.3852,,,,0.2103,0.4555,,,0.0479,,1.5313,,0.1838,3.1752,,,,,0.1927,
